fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H2-R6080,1060RPE,PASTAS CLUCH  MOTOCARRO 200CC DINAMO 400  ALPINA 300,entrada,7,Hoja 2,6080,U
Diciembre TOTAL,H2-R6081,PAS-M00100,PASTAS DE CLUTCH DE MOTONETA DS150,entrada,6,Hoja 2,6081,U
Diciembre 5,H2-R6082,REM29 A29,PASTAS DE CLUCH DE MOTONETA DS 150,salida,1,Hoja 2,6082,N
Diciembre 8,H2-R6082,REM29 A29,PASTAS DE CLUCH DE MOTONETA DS 150,salida,1,Hoja 2,6082,T
Diciembre TOTAL,H2-R6082,REM29 A29,PASTAS DE CLUCH DE MOTONETA DS 150,entrada,4,Hoja 2,6082,U
Diciembre TOTAL,H2-R6083,PASCLTH,PASTAS DE CLUCH DE MOTONETA DS 150,entrada,3,Hoja 2,6083,U
Diciembre TOTAL,H2-R6084,170RTE-PAS,PASTAS DE CLUCH DE MOTONETA DS 150,entrada,3,Hoja 2,6084,U
Diciembre 8,H2-R6085,PAS-GYM-02,PASTAS DE CLUCH DE MOTONETA DS125,salida,1,Hoja 2,6085,T
Diciembre TOTAL,H2-R6085,PAS-GYM-02,PASTAS DE CLUCH DE MOTONETA DS125,entrada,5,Hoja 2,6085,U
Diciembre TOTAL,H2-R6086,PAS-GTS175,PASTAS DE CLUCH DE MOTONETA GYG170 - 175,entrada,4,Hoja 2,6086,U
Diciembre TOTAL,H2-R6087,MS550,PASTAS DE CLUCH DE VENTO 250,entrada,2,Hoja 2,6087,U
Diciembre 3,H2-R6088,82-011,PASTAS DE CLUCH DE ROCKETMAN 250,salida,1,Hoja 2,6088,J
Diciembre TOTAL,H2-R6088,82-011,PASTAS DE CLUCH DE ROCKETMAN 250,entrada,8,Hoja 2,6088,U
Diciembre TOTAL,H2-R6091,PAS-017,PASTAS DE CLUCH DE PULSAR NS200,entrada,3,Hoja 2,6091,U
Diciembre TOTAL,H2-R6093,22201-GN-125,PASTAS DE CLUCH DE GN-125 SUELTAS,entrada,3,Hoja 2,6093,U
Diciembre TOTAL,H2-R6094,35-3016-001,PASTAS DE CLUCH DE SUZUKI GN125,entrada,2,Hoja 2,6094,U
Diciembre TOTAL,H2-R6097,PAS-C90,PASTAS DE CLUTCH C90,entrada,3,Hoja 2,6097,U
Diciembre TOTAL,H2-R6098,PAS-013,PASTAS DE CLUTCH FT110,entrada,2,Hoja 2,6098,U
Diciembre TOTAL,H2-R6099,PAS-019,PASTAS DE CLUCH FT110,entrada,3,Hoja 2,6099,U
Diciembre TOTAL,H2-R6100,REM2890,PASTAS DE CLUCH FT110,entrada,4,Hoja 2,6100,U
Diciembre TOTAL,H2-R6102,E1303KP04,PASTAS DE CLUCH FT180 FT200 TC200,entrada,9,Hoja 2,6102,U
Diciembre 2,H2-R6103,PAS-004,PASTAS DE CLUCH FT180 Y TC200,salida,3,Hoja 2,6103,H
Diciembre 3,H2-R6103,PAS-004,PASTAS DE CLUCH FT180 Y TC200,salida,2,Hoja 2,6103,J
Diciembre TOTAL,H2-R6103,PAS-004,PASTAS DE CLUCH FT180 Y TC200,entrada,3,Hoja 2,6103,U
Diciembre TOTAL,H2-R6104,74-766,PASTAS DE CLUCH FZ16 CON DISCOS,entrada,3,Hoja 2,6104,U
Diciembre TOTAL,H2-R6107,PAS-022,PASTAS DE CLUCH PARA VX-250,entrada,4,Hoja 2,6107,U
Diciembre TOTAL,H2-R6108,PAS-021,PASTAS DE CLUCH PARA V-200,entrada,5,Hoja 2,6108,U
Diciembre TOTAL,H2-R6109,REM1036,PASTAS DE CLUCH PARA GN,entrada,1,Hoja 2,6109,U
Diciembre TOTAL,H2-R6110,REM922,PASTAS DE CLUCH PARA YBR125,entrada,4,Hoja 2,6110,U
Diciembre TOTAL,H2-R6111,1329,PASTAS DE CLUCHPARA CARRO BAJAR 6 PASTAS,entrada,3,Hoja 2,6111,U
Diciembre 2,H2-R6112,PAS-CGM-01,PASTAS DE CLUCH PARA FT 125,entrada,5,Hoja 2,6112,G
Diciembre 2,H2-R6112,PAS-CGM-01,PASTAS DE CLUCH PARA FT 125,salida,1,Hoja 2,6112,H
Diciembre 6,H2-R6112,PAS-CGM-01,PASTAS DE CLUCH PARA FT 125,salida,1,Hoja 2,6112,P
Diciembre TOTAL,H2-R6112,PAS-CGM-01,PASTAS DE CLUCH PARA FT 125,entrada,10,Hoja 2,6112,U
Diciembre TOTAL,H2-R6113,74-796,PASTAS DE CLUCH DE BWS125,entrada,3,Hoja 2,6113,U
Diciembre TOTAL,H2-R6114,CLU-7202-0026,PASTAS DE CLUCH DE BWS100,entrada,3,Hoja 2,6114,U
Diciembre TOTAL,H2-R6116,PED4-001,PEDAL DE ARRANQUE DE HONDA NAVI,entrada,1,Hoja 2,6116,U
Diciembre TOTAL,H2-R6117,PED-2208-0208,PEDAL DE ARRANQUE DE VTO CYCLONE 200,entrada,2,Hoja 2,6117,U
Diciembre TOTAL,H2-R6118,285RTF,PEDAL DE ARRANQUE  DE MOTONETA DELGADO,entrada,1,Hoja 2,6118,U
Diciembre TOTAL,H2-R6120,PED-086  PED-SRO30,PEDAL DE ARRANQUE AT-110 XT110 XT110RT,entrada,2,Hoja 2,6120,U
Diciembre TOTAL,H2-R6121,PED-A002,PEDAL DE ARRANQUE DE ATV250,entrada,2,Hoja 2,6121,U
Diciembre TOTAL,H2-R6122,PED-087,PEDAL DE ARRANQUE DE BIT-150 D-125LT,entrada,2,Hoja 2,6122,U
Diciembre TOTAL,H2-R6123,PED-067,PEDAL DE ARRANQUE DE FL125,entrada,3,Hoja 2,6123,U
Diciembre TOTAL,H2-R6124,PED-066,PEDAL DE  ARRANQUE DE FT200TS,entrada,2,Hoja 2,6124,U
Diciembre 2,H2-R6125,PED-TC200-A,"PEDAL DE ARRANQUE 150 ""s""",entrada,5,Hoja 2,6125,G
Diciembre TOTAL,H2-R6125,PED-TC200-A,"PEDAL DE ARRANQUE 150 ""s""",entrada,5,Hoja 2,6125,U
Diciembre TOTAL,H2-R6126,REM27  A27,"PEDAL DE ARRANQUE 150 ""s""",entrada,6,Hoja 2,6126,U
Diciembre TOTAL,H2-R6127,REM620,PEDAL DE ARRANQUE DE VENDETA 90 PS90,entrada,3,Hoja 2,6127,U
Diciembre TOTAL,H2-R6129,PED-071,PEDAL DE ARRANQUE DE DT-125,entrada,3,Hoja 2,6129,U
Diciembre TOTAL,H2-R6130,PED-069,PEDAL DE ARRANQUE AT125,entrada,2,Hoja 2,6130,U
Diciembre TOTAL,H2-R6136,PED-039,PEDAL DE ARRANQUE DE 250Z Y 150Z,entrada,4,Hoja 2,6136,U
Diciembre TOTAL,H2-R6137,AP1032,PEDAL DE ARRANQUE DE FZ16,entrada,5,Hoja 2,6137,U
Diciembre 2,H2-R6138,REM97,"PEDAL DE ARRANQUE DE C 110 ""L""",salida,1,Hoja 2,6138,H
Diciembre 6,H2-R6138,REM97,"PEDAL DE ARRANQUE DE C 110 ""L""",salida,1,Hoja 2,6138,P
