fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H4-R27,ASI-M00100,ASIENTO DE DS150,entrada,2,Hoja 4,27,U
Diciembre TOTAL,H4-R28,ASI-FT150-09,ASIENTO DE FT150,entrada,1,Hoja 4,28,U
Diciembre TOTAL,H4-R29,ASI-GS0150,ASIENTO DE GS 150 Y GTS175,entrada,1,Hoja 4,29,U
Diciembre 17,H4-R33,AS13-300,ASIENTO DE WS150,salida,1,Hoja 4,33,J
Diciembre TOTAL,H4-R34,ASI-005,ASIENTO DE WS150,entrada,1,Hoja 4,34,U
Diciembre TOTAL,H4-R35,ASI-WS0150,ASIENTO DE WS150,entrada,1,Hoja 4,35,U
Diciembre TOTAL,H4-R37,,BARDAHL LIMPIA PARABRISAS,entrada,9,Hoja 4,37,U
Diciembre TOTAL,H4-R38,ADA-AMO-01,ADAPTADOR DE AMORTIHUADOR DE DS,entrada,1,Hoja 4,38,U
Diciembre TOTAL,H4-R39,87535254 12320,ADITIVO 2 TIEMPOS BARDAL,entrada,103,Hoja 4,39,U
Diciembre TOTAL,H4-R40,A11051,ADITIVO BARDHAL (2),entrada,2,Hoja 4,40,U
Diciembre 16,H4-R41,A11041,ADITIVO BARDHAL (I),salida,2,Hoja 4,41,H
Diciembre TOTAL,H4-R41,A11041,ADITIVO BARDHAL (I),entrada,6,Hoja 4,41,U
Diciembre 16,H4-R42,A20012,ADITIVO BITAL BARDHAL,salida,6,Hoja 4,42,H
Diciembre TOTAL,H4-R42,A20012,ADITIVO BITAL BARDHAL,entrada,5,Hoja 4,42,U
Diciembre TOTAL,H4-R43,A12073,ADITIVO PARA GASOLINA TOPOI,entrada,105,Hoja 4,43,U
Diciembre 16,H4-R45,WB-50,AFLOJATODO WB-50,salida,4,Hoja 4,45,H
Diciembre 17,H4-R45,WB-50,AFLOJATODO WB-50,salida,2,Hoja 4,45,J
Diciembre TOTAL,H4-R45,WB-50,AFLOJATODO WB-50,entrada,10,Hoja 4,45,U
Diciembre TOTAL,H4-R46,WT-240/13469,AFLOJATODO,entrada,4,Hoja 4,46,U
Diciembre 17,H4-R47,WT-110/13468,AFLOJATODO CHICO,salida,5,Hoja 4,47,J
Diciembre TOTAL,H4-R47,WT-110/13468,AFLOJATODO CHICO,entrada,3,Hoja 4,47,U
Diciembre TOTAL,H4-R48,A2872,AJUSTADOR DE RAYOS,entrada,5,Hoja 4,48,U
Diciembre TOTAL,H4-R49,ALE-110,AJUSTADOR DE RAYOS,entrada,1,Hoja 4,49,U
Diciembre TOTAL,H4-R50,ACC-004,CUERNOS DECORATIVOS,entrada,3,Hoja 4,50,U
Diciembre 17,H4-R51,A14300 PIÑA,AGUA PARA BATERIA BARDAL,salida,1,Hoja 4,51,J
Diciembre TOTAL,H4-R51,A14300 PIÑA,AGUA PARA BATERIA BARDAL,entrada,112,Hoja 4,51,U
Diciembre 16,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,entrada,300,Hoja 4,53,G
Diciembre 16,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,71,Hoja 4,53,H
Diciembre 17,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,8,Hoja 4,53,J
Diciembre 18,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,13,Hoja 4,53,L
Diciembre 19,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,5,Hoja 4,53,N
Diciembre 20,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,3,Hoja 4,53,P
Diciembre 21,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,5,Hoja 4,53,R
Diciembre 22,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,4,Hoja 4,53,T
Diciembre TOTAL,H4-R53,A4T,AKRON 4 TIEMPOS  20W50,entrada,317,Hoja 4,53,U
Diciembre TOTAL,H4-R54,,AKRON 25W60 PARA TRIMOTO,entrada,16,Hoja 4,54,U
Diciembre TOTAL,H4-R55,,AKRON 80W90,entrada,2,Hoja 4,55,U
Diciembre TOTAL,H4-R56,,AKRON ATF DE LITRO,entrada,27,Hoja 4,56,U
Diciembre TOTAL,H4-R57,,AKRON MEXICANA LUBRICANTE SAE50,entrada,18,Hoja 4,57,U
Diciembre TOTAL,H4-R58,,AKRON PREMIUM 20W50,entrada,10,Hoja 4,58,U
Diciembre TOTAL,H4-R59,,AKRON SAE 25W-50  ALTO KILOMETRAJE,entrada,2,Hoja 4,59,U
Diciembre TOTAL,H4-R60,,AKRON SAE 60,entrada,5,Hoja 4,60,U
Diciembre TOTAL,H4-R61,,AKRON SINTETICO 5W-30,entrada,10,Hoja 4,61,U
Diciembre TOTAL,H4-R62,ALA-LB002,INMOVILIZADOR PARA MOTOS,entrada,4,Hoja 4,62,U
Diciembre TOTAL,H4-R63,RS-GRL-12037,ALARMA CON SENSOR DE PRESENCIA Y ENCE. A DISTANCIA,entrada,1,Hoja 4,63,U
Diciembre TOTAL,H4-R65,ALA-002,ALARMAS PARA MOTOS CON EUIPO DE SONIDO,entrada,2,Hoja 4,65,U
Diciembre TOTAL,H4-R66,ALA-001,ALARMAS PARA MOTOS,entrada,1,Hoja 4,66,U
Diciembre TOTAL,H4-R67,EALA-001,ALARMA PARA BICLETA ELECTRICA,entrada,1,Hoja 4,67,U
Diciembre TOTAL,H4-R68,REM949,ALARMAS PARA MOTOS CON EUIPO DE SONIDO,entrada,1,Hoja 4,68,U
Diciembre TOTAL,H4-R69,A1257,ALARMAS PARA MOTOS,entrada,1,Hoja 4,69,U
Diciembre TOTAL,H4-R70,BAJ-065,AMORTIHUADORES DELANTEROS PARA BOXER-150,entrada,2,Hoja 4,70,U
Diciembre TOTAL,H4-R71,REM3941,AMORTIHUADORES DELANTEROS NS200,entrada,1,Hoja 4,71,U
Diciembre TOTAL,H4-R72,BAJ-069,AMORTIHUADORES DELANTEROS DE FT250GTS  GPS,entrada,1,Hoja 4,72,U
Diciembre 19,H4-R73,BAS7-266,AMORTIHUADORES DELANTEROS DE FT250  DT200,salida,1,Hoja 4,73,N
Diciembre TOTAL,H4-R74,BAJ-059,AMORTIHUADORES DELANTEROS  de RT200,entrada,1,Hoja 4,74,U
Diciembre 16,H4-R75,BAJ-056,AMORTIHUADORES DELANTEROS DE VITALIA 150,entrada,1,Hoja 4,75,G
Diciembre TOTAL,H4-R75,BAJ-056,AMORTIHUADORES DELANTEROS DE VITALIA 150,entrada,1,Hoja 4,75,U
Diciembre 21,H4-R76,BAJ-075,AMORTIHUADORES DELANTEROS VN.,salida,1,Hoja 4,76,R
Diciembre 18,H4-R77,BAJ-041,AMORTIHUADORES DELANTEROS VN LITHIUM 4.0,salida,1,Hoja 4,77,L
Diciembre TOTAL,H4-R78,BAJ-054,AMORTIHUADORES DELANTEROS PARA BIT-150,entrada,1,Hoja 4,78,U
Diciembre TOTAL,H4-R79,BAJ-042,AMORTIHUADORES DELANTEROS PARA WS150 SPORT WS175,entrada,1,Hoja 4,79,U
Diciembre TOTAL,H4-R80,AMO-320MM AMO-340MM,AMORTIHUADORES UNUVERSALES DE NITROJENO O GAS,entrada,1,Hoja 4,80,U
Diciembre TOTAL,H4-R81,BAJ-032,AMORTIHUADORES DELANTEROS DE DM150 2014  2019,entrada,1,Hoja 4,81,U
Diciembre TOTAL,H4-R82,BAJ-030,AMORTIHUADORES DELANTEROS DE DM150 ROJA,entrada,1,Hoja 4,82,U
Diciembre TOTAL,H4-R84,BAJ-007,AMORTIHUADORES DELANTEROS DE DM200 Y RISKI 200,entrada,1,Hoja 4,84,U
Diciembre 19,H4-R85,BAJ-003,AMORTIHUADORES DELANTEROS DE AT110,salida,1,Hoja 4,85,N
Diciembre TOTAL,H4-R85,BAJ-003,AMORTIHUADORES DELANTEROS DE AT110,entrada,1,Hoja 4,85,U
Diciembre TOTAL,H4-R86,,AMORTIHUADOR TRASERO FT 110,entrada,3,Hoja 4,86,U
Diciembre TOTAL,H4-R87,BAJ-039,AMORTIHUADORES DELANTEROS DE TC200  Y  TC250,entrada,1,Hoja 4,87,U
Diciembre TOTAL,H4-R88,,AMORTIHUADORES DELANTEROS DE TC200,entrada,1,Hoja 4,88,U
Diciembre TOTAL,H4-R89,BAJ-070,AMORTIHUADOR DELANTERO DE TC300,entrada,1,Hoja 4,89,U
Diciembre TOTAL,H4-R90,BAJ-001,AMORTIHUADOR DELANTERO DE 150Z Y 170Z DERECHO Y IZQUIERDO,entrada,1,Hoja 4,90,U
Diciembre TOTAL,H4-R91,BAJ-067,AMORTIHUADORES DELANTEROS DE 280-Z,entrada,1,Hoja 4,91,U
Diciembre TOTAL,H4-R92,,AMORTIHUADORES DELANTEROS DE CARGO125,entrada,1,Hoja 4,92,U
Diciembre TOTAL,H4-R93,EBAJ-002,AMORTIGUADOR DELANTERO DE BICICLETA ELECTRICA,entrada,1,Hoja 4,93,U
Diciembre 16,H4-R94,BAJ-002,AMORTIHUADOR DELANTERO DE 250Z DERECHO Y IZQUIERDO,entrada,1,Hoja 4,94,G
Diciembre TOTAL,H4-R94,BAJ-002,AMORTIHUADOR DELANTERO DE 250Z DERECHO Y IZQUIERDO,entrada,3,Hoja 4,94,U
Diciembre TOTAL,H4-R95,BAR-028,AMORTIHUADOR DELANTERO DE FT110 IZQUIERDO,entrada,1,Hoja 4,95,U
Diciembre TOTAL,H4-R96,BAR-027,AMORTIHUADOR DELANTERO DE FT110DERECHO,entrada,1,Hoja 4,96,U
Diciembre TOTAL,H4-R97,AMCN119,AMORTIHUADORES DELANTEROS DE CARGO 150,entrada,1,Hoja 4,97,U
Diciembre TOTAL,H4-R98,REM2625,AMORTIHUADOR DELANTERO DE CARGO 125,entrada,2,Hoja 4,98,U
Diciembre TOTAL,H4-R99,746RPF-AMO-1,AMORTIHUADOR DELANTEROS DE CARGO 150,entrada,1,Hoja 4,99,U
Diciembre TOTAL,H4-R100,BAR-021,AMORTIHUADOR DELANTERO IZQUIERDO ST90,entrada,1,Hoja 4,100,U
Diciembre TOTAL,H4-R101,REM2139,AMORTIHUADOR PARA HONDA BROSS,entrada,1,Hoja 4,101,U
Diciembre TOTAL,H4-R103,AMO-1400-0321,AMORTIHUADOR PARA VENTO CYCLONE 200,entrada,1,Hoja 4,103,U
Diciembre TOTAL,H4-R104,AMO-1400-0361,AMORTIHUADOR PARA VENTO STORM 250,entrada,1,Hoja 4,104,U
Diciembre TOTAL,H4-R106,AMO-039,AMORTIHUADOR TRACERO DE NS200,entrada,1,Hoja 4,106,U
Diciembre TOTAL,H4-R107,AMO-030,AMORTIHUADOR TRACERO DE 125Z,entrada,1,Hoja 4,107,U
Diciembre TOTAL,H4-R109,AMO-019,AMORTIHUADOR TRACERO DE 150Z,entrada,1,Hoja 4,109,U
Diciembre TOTAL,H4-R110,REM3512,AMORTIHUADOR TRACERO DE 150Z MONOSHOCK,entrada,1,Hoja 4,110,U
Diciembre TOTAL,H4-R112,AMO-022,AMORTIHUADOR TRACERO DE DM150,entrada,1,Hoja 4,112,U
Diciembre TOTAL,H4-R113,AMO-097,AMORTIHUADOR TRACERO DE DM200 AZUL,entrada,1,Hoja 4,113,U
Diciembre TOTAL,H4-R114,AMO-028,AMORTIHUADOR TRACERO DE DM200,entrada,1,Hoja 4,114,U
Diciembre 19,H4-R115,AMO-037/GAD00327,AMORTIHUADOR TRACERO DE DM250  CROSSMAX 200 AZUL,salida,1,Hoja 4,115,N
Diciembre TOTAL,H4-R116,AMO-042,AMORTIHUADOR TRACERO DE CROSSMAX-250 NEGRO,entrada,1,Hoja 4,116,U
Diciembre TOTAL,H4-R117,AMO-FZ16-AM,AMORTIHUADOR TRACERO DE FZ16,entrada,1,Hoja 4,117,U
Diciembre TOTAL,H4-R118,AMO-021,AMORTIHUADOR TRACERO DE RC150GT,entrada,1,Hoja 4,118,U
Diciembre TOTAL,H4-R120,AMO-023,AMORTIHUADOR TRACERO AT110 X-110 AT110RT,entrada,1,Hoja 4,120,U
Diciembre TOTAL,H4-R121,AMO-025,AMORTIHUADOR TRASERO AT110 SPORT,entrada,1,Hoja 4,121,U
Diciembre TOTAL,H4-R122,AMO-095,AMORTIHUADOR TRACERO DE GTS 300,entrada,1,Hoja 4,122,U
Diciembre TOTAL,H4-R123,AMO-101,AMORTIHUADOR TRACERO DE NAVI-110 ROJO,entrada,1,Hoja 4,123,U
Diciembre 16,H4-R124,AMO-093,AMORTIHUADOR TRACERO DE VN OVNI-170  AMARILLO,entrada,1,Hoja 4,124,G
Diciembre TOTAL,H4-R124,AMO-093,AMORTIHUADOR TRACERO DE VN OVNI-170  AMARILLO,entrada,1,Hoja 4,124,U
Diciembre TOTAL,H4-R125,AMO-094,AMORTIHUADOR TRACERO DE VN ATOM-150 ROJO,entrada,1,Hoja 4,125,U
Diciembre TOTAL,H4-R126,AMO-092,AMORTIHUADOR TRACERO DE BIT-150,entrada,1,Hoja 4,126,U
Diciembre TOTAL,H4-R127,AMO-071,AMORTIHUADOR TRACERO DE VITALIA 125,entrada,1,Hoja 4,127,U
Diciembre TOTAL,H4-R128,AMO-070,AMORTIHUADOR TRACERO DE VITALIA 150,entrada,1,Hoja 4,128,U
Diciembre TOTAL,H4-R129,AMO-009,AMORTIHUADOR TRACERO DE WS150 CON HORQUILLA,entrada,1,Hoja 4,129,U
Diciembre TOTAL,H4-R131,AMO-MWS150-NG,AMORTIHUADOR TRACERO DE WS150,entrada,2,Hoja 4,131,U
Diciembre TOTAL,H4-R132,746RPF-AMO,AMORTIHUADORES TRACEROS DE CARGO150,entrada,1,Hoja 4,132,U
Diciembre TOTAL,H4-R133,AMO-072,AMORTIHUADOR TRACERO DE VENTO NITROX-250,entrada,1,Hoja 4,133,U
Diciembre TOTAL,H4-R134,AMO-078,AMORTIHUADOR TRACERO DE ROCKEMAN-250 Y TORNADO 250,entrada,1,Hoja 4,134,U
Diciembre TOTAL,H4-R135,AMO-062,AMORTIHUADOR TRACERIO DE VORTX-200,entrada,1,Hoja 4,135,U
Diciembre TOTAL,H4-R136,AMO-063,AMORTIHUADOR TRACERO DE V-200,entrada,1,Hoja 4,136,U
Diciembre TOTAL,H4-R137,AMO-018,AMORTIHUADOR TRACERO DE TC200 TC250 Y RC200,entrada,2,Hoja 4,137,U
Diciembre TOTAL,H4-R138,AMO-061,AMORTIHUADOR TRACERO FT200TS AMARILLOS,entrada,1,Hoja 4,138,U
Diciembre TOTAL,H4-R139,AMO-017,AMORTIHUADOR TRASERO FT180 Y FT200 Y FT250,entrada,4,Hoja 4,139,U
Diciembre TOTAL,H4-R140,AMO-102,AMORTIHUADOR TRACERO FT-250GTS  GPS,entrada,1,Hoja 4,140,U
Diciembre TOTAL,H4-R142,AMO-080,AMORTIHUADOR TRACERO ROJO PARA RT250,entrada,1,Hoja 4,142,U
Diciembre TOTAL,H4-R144,BAJ-029,AMORTIHUADORES DELANTEROS DE FT150G,entrada,1,Hoja 4,144,U
Diciembre TOTAL,H4-R145,BAJ-011,AMORTIHUADORES DELANTEROS DE FT150 GRIS,entrada,1,Hoja 4,145,U
Diciembre TOTAL,H4-R146,BAJ-012,"AMORTIHUADORES DELANTEROS DE FT150 NEGROS,FT200 2024",entrada,1,Hoja 4,146,U
Diciembre TOTAL,H4-R147,REM1302,AMORTIHUADORES DE HONDA CARGO 125,entrada,1,Hoja 4,147,U
Diciembre TOTAL,H4-R148,74-600,AMORTIHUADORES DELANTEROS DE YBR125 DE DISCO,entrada,1,Hoja 4,148,U
Diciembre TOTAL,H4-R149,794RPF-AMO,AMORTIHUADORES DELANTEROS DE YBR125 DE TAMBOR,entrada,1,Hoja 4,149,U
Diciembre TOTAL,H4-R150,BAJ-006,AMORTIHUADORES DELANTEROS DM150,entrada,1,Hoja 4,150,U
Diciembre TOTAL,H4-R151,BAJ-020,AMORTIHUADORES DELANTEROS DE 125Z,entrada,1,Hoja 4,151,U
Diciembre TOTAL,H4-R152,BAJ-013,AMORTIHUADORES DELANTEROS DE FT180 FT200 Y FT250,entrada,1,Hoja 4,152,U
Diciembre TOTAL,H4-R154,AMO-M007,AMORTIHUADORES DELANTEROS DE MOTONETA CS125,entrada,1,Hoja 4,154,U
Diciembre TOTAL,H4-R155,BAJ-055,AMORTIHUADORES DELANTEROS DE MOTONETA DS,entrada,1,Hoja 4,155,U
Diciembre TOTAL,H4-R156,BAS7-247,AMORTIHUADORES DELANTEROS DE DS150G  X150G,entrada,1,Hoja 4,156,U
Diciembre TOTAL,H4-R157,BAJ-008 DISCO,AMORTIHUADORES DELANTEROS DE DISCO MOTONETA DS,entrada,1,Hoja 4,157,U
Diciembre TOTAL,H4-R158,BAJ-034,AMORTIHUADORES DELANTEROS DE NS200,entrada,1,Hoja 4,158,U
Diciembre TOTAL,H4-R160,BAJ-028,AMORTIHUADORES DELANTEROS DE RC150  DE DISCO,entrada,1,Hoja 4,160,U
Diciembre TOTAL,H4-R161,BAS7-272,AMORTIHUADORES DELANTEROS DE RC150 Y RC200,entrada,3,Hoja 4,161,U
Diciembre TOTAL,H4-R162,BAJ-027,AMORTIHUADORES DELANTEROS DE RC150GT Y RC200,entrada,1,Hoja 4,162,U
Diciembre TOTAL,H4-R163,BAJ-040,AMORTIHUADORES DELANTEROS DE ROCKETMAN 250,entrada,1,Hoja 4,163,U
Diciembre TOTAL,H4-R164,BAJ-014,AMORTIHUADORES DELANTEROS DE RC150,entrada,1,Hoja 4,164,U
Diciembre TOTAL,H4-R165,BAJ-047,AMORTIHUADORES DELANTEROS DE D-125LT,entrada,1,Hoja 4,165,U
Diciembre TOTAL,H4-R166,BAJ-046,AMORTIHUADORES DELANTEROS DE D-125 Y X-125,entrada,2,Hoja 4,166,U
Diciembre TOTAL,H4-R167,BAJ-049,AMORTIHUADORES DELANTEROS DE VENTO STROM,entrada,1,Hoja 4,167,U
Diciembre TOTAL,H4-R168,BAJ-050,AMORTIHUADORES DELANTEROS DE DM250,entrada,1,Hoja 4,168,U
Diciembre TOTAL,H4-R169,BAJ-052,AMORTIHUADORES DELANTEROS DE VORTX 300,entrada,1,Hoja 4,169,U
Diciembre TOTAL,H4-R170,BAJ-061,AMORTIHUADORES DELANTEROS DE  DM300,entrada,1,Hoja 4,170,U
Diciembre TOTAL,H4-R171,CORPBSUP-250,AMORTIGUADORES DELANTEROS DE,entrada,2,Hoja 4,171,U
Diciembre 16,H4-R172,BAJ-017,AMORTIHUADORES DELANTEROS  W-150  Y XW150 TAMBOR,entrada,1,Hoja 4,172,G
Diciembre TOTAL,H4-R172,BAJ-017,AMORTIHUADORES DELANTEROS  W-150  Y XW150 TAMBOR,entrada,1,Hoja 4,172,U
Diciembre TOTAL,H4-R173,REM2792,AMORTIHUADORES DELANTEROS DE WS150 DE TAMBOR,entrada,1,Hoja 4,173,U
Diciembre 16,H4-R174,BAJ-038,AMORTIHUADORES DELANTEROS DE WS150SP  Y  WS175SP,salida,1,Hoja 4,174,H
Diciembre TOTAL,H4-R175,REM2598,AMORTIHUADORES DELANTEROS DE WS150 DE DISCO,entrada,1,Hoja 4,175,U
Diciembre TOTAL,H4-R176,CORPBSUP-250,AMORTIHUADORES DELANTEROS DE D-150 X150,entrada,1,Hoja 4,176,U
Diciembre TOTAL,H4-R177,BAS7-250,AMORTIHUADORES DELANTEROS DE D-150 X150,entrada,1,Hoja 4,177,U
Diciembre TOTAL,H4-R179,BAS7-217,AMORTIHUADORES DELANTEROS DE VORT-X 200,entrada,1,Hoja 4,179,U
Diciembre TOTAL,H4-R180,BAS7-303,AMORTIHUADORES DELANTEROS DE VORT-X 250,entrada,2,Hoja 4,180,U
Diciembre TOTAL,H4-R181,BAJ-045,AMORTIHUADORES DELANTEROS DE VENTO NITROX -200RZ,entrada,1,Hoja 4,181,U
Diciembre TOTAL,H4-R182,BAJ-044,AMORTIHUADORES DELANTEROS DE CROXXMAX PRO-250,entrada,1,Hoja 4,182,U
Diciembre TOTAL,H4-R183,BAJ-043,AMORTIHUADORES DELANTEROS DE VENTO NITROX 250,entrada,1,Hoja 4,183,U
Diciembre TOTAL,H4-R184,AMO-MT04,AMORTIHUADORES DELANTEROS DE FT125 DT125 YDT150,entrada,1,Hoja 4,184,U
Diciembre 17,H4-R185,BAJ-010,AMORTIHUADORES DELANTEROS DE FT125 DT125 YDT150,salida,1,Hoja 4,185,J
Diciembre 20,H4-R185,BAJ-010,AMORTIHUADORES DELANTEROS DE FT125 DT125 YDT150,salida,1,Hoja 4,185,P
Diciembre TOTAL,H4-R186,BAS7-294,AMORTIHUADORES DELANTEROS DE BIT150,entrada,1,Hoja 4,186,U
Diciembre TOTAL,H4-R187,BAR-003,AMORTIHUADORES DELANTEROS DE CS125 DS125 CITY125,entrada,1,Hoja 4,187,U
Diciembre TOTAL,H4-R189,AMO-MGS150-CR,AMORTIHUADORES TRACEROS  MOTONETA DS150 DS125 CROMADOS,entrada,2,Hoja 4,189,U
Diciembre TOTAL,H4-R192,52-5016,AMORTIHUADORES TRACEROS DE ST70,entrada,2,Hoja 4,192,U
Diciembre TOTAL,H4-R193,AMCN15,AMORTIHUADORES TRACEROS DE EN125,entrada,1,Hoja 4,193,U
Diciembre TOTAL,H4-R194,AMCN94,AMORTIHUADORES TRACEROS DE GN125,entrada,1,Hoja 4,194,U
Diciembre TOTAL,H4-R195,AMO-WO019,AMORTIHUADORES TRACERO DE FT125 CROMADO,entrada,2,Hoja 4,195,U
Diciembre TOTAL,H4-R196,265RPF,AMORTIHUADORES TRACEROS DE FT125,entrada,1,Hoja 4,196,U
Diciembre 16,H4-R197,AMO-MT0125-CR,AMORTIGUADORES TRACEROS DE FT125,salida,1,Hoja 4,197,H
Diciembre TOTAL,H4-R197,AMO-MT0125-CR,AMORTIGUADORES TRACEROS DE FT125,entrada,1,Hoja 4,197,U
Diciembre TOTAL,H4-R199,AMO7-037,AMORTIHUADORES TRACEROS DE DT125,entrada,1,Hoja 4,199,U
Diciembre TOTAL,H4-R200,AMO7-017,AMORTIHUADORES TRACEROS DE125FL,entrada,1,Hoja 4,200,U
Diciembre TOTAL,H4-R201,AMO7-293,AMORTIHUADORES TRACEROS RC 200 RC150,entrada,1,Hoja 4,201,U
Diciembre 18,H4-R202,AMO-020,AMORTIHUADORES TRACEROS RC150,salida,1,Hoja 4,202,L
Diciembre 19,H4-R202,AMO-020,AMORTIHUADORES TRACEROS RC150,salida,1,Hoja 4,202,N
Diciembre 17,H4-R203,AMO008/500RPF-25N,AMORTIHUADORES TRACEROS FT150,salida,1,Hoja 4,203,J
Diciembre TOTAL,H4-R204,AMO-MT0150-NG,AMORTIHUADORES TRACERO DE FT150,entrada,2,Hoja 4,204,U
Diciembre TOTAL,H4-R205,AMO-001,AMORTIHUADOR TRACERO DE FT150 FT150GT DT150,entrada,1,Hoja 4,205,U
Diciembre TOTAL,H4-R206,AMO-008,AMORTIHUADORES TRACERO DE DT125 DT150,entrada,1,Hoja 4,206,U
Diciembre TOTAL,H4-R207,AMO-012,AMORTIHUADORES TRACEROS ST90,entrada,1,Hoja 4,207,U
Diciembre TOTAL,H4-R208,AMCN14,AMORTIHUADORES TRACEROS DE DS125,entrada,1,Hoja 4,208,U
Diciembre TOTAL,H4-R209,AMO-041,AMORTIHUADORES TRACEROS DE D-125 XC125 D-150,entrada,1,Hoja 4,209,U
Diciembre 17,H4-R210,AMO-003,AMORTIHUADORES TRASEROS DE CS125,salida,1,Hoja 4,210,J
Diciembre TOTAL,H4-R211,ANCN53,ANILLOS DE SUZUKI EN125,entrada,1,Hoja 4,211,U
Diciembre TOTAL,H4-R212,ANCN61,ANILLOS DE PULSAR NS200,entrada,2,Hoja 4,212,U
Diciembre TOTAL,H4-R213,ANCN65,ANILLOS DE PULSAR 180 STD,entrada,2,Hoja 4,213,U
Diciembre TOTAL,H4-R214,ANCN69,ANILLOS DE DISCOVERY 135 STD,entrada,3,Hoja 4,214,U
Diciembre TOTAL,H4-R215,ANCN77,ANILLOS DE BOXER 150,entrada,4,Hoja 4,215,U
Diciembre 16,H4-R216,ANI-005-F,ANILLOS DE 125Z DISCOVERY 125,entrada,2,Hoja 4,216,G
Diciembre TOTAL,H4-R216,ANI-005-F,ANILLOS DE 125Z DISCOVERY 125,entrada,2,Hoja 4,216,U
Diciembre TOTAL,H4-R217,ANI-005-IR,ANILLOS DE 125Z DISCOVERY 125,entrada,1,Hoja 4,217,U
Diciembre TOTAL,H4-R218,ANI-024-IR,ANILLOS DE RYDER 5.0,entrada,3,Hoja 4,218,U
Diciembre TOTAL,H4-R219,ANI-022-IR,ANILLOS DE GIXXER-150,entrada,2,Hoja 4,219,U
Diciembre TOTAL,H4-R220,ANI-023-IR,ANILLOS DE NITROX-300,entrada,2,Hoja 4,220,U
Diciembre TOTAL,H4-R221,ANI-019-IR,ANILLOS DE NITROX-250,entrada,2,Hoja 4,221,U
Diciembre TOTAL,H4-R222,ANI-025-IR,ANILLOS DE STORM-300,entrada,2,Hoja 4,222,U
Diciembre TOTAL,H4-R223,ANI-020-IR,ANILLOS DE ROCKETMAN-250   CROSSMAX-250 TORNADO 250,entrada,3,Hoja 4,223,U
Diciembre TOTAL,H4-R224,ANI-018-IR,ANILLOS DE V-200,entrada,4,Hoja 4,224,U
Diciembre 18,H4-R225,ANI-004-F,ANILLOS DE 250Z DM250 RT250,salida,1,Hoja 4,225,L
Diciembre TOTAL,H4-R225,ANI-004-F,ANILLOS DE 250Z DM250 RT250,entrada,1,Hoja 4,225,U
Diciembre TOTAL,H4-R226,ANI-M00170-STD,ANILLOS DE ST70,entrada,1,Hoja 4,226,U
Diciembre TOTAL,H4-R227,ANI-009-IR,ANILLOS DE AT125,entrada,2,Hoja 4,227,U
Diciembre TOTAL,H4-R228,ANCN85,ANILLOS DE CARGO 125,entrada,3,Hoja 4,228,U
Diciembre TOTAL,H4-R229,P003587,ANILLOS DE CARGO GL150 CARGO,entrada,3,Hoja 4,229,U
Diciembre TOTAL,H4-R230,29-2250/29-2250-001,ANILLOS DE CARGO GL150 CARGO,entrada,5,Hoja 4,230,U
Diciembre TOTAL,H4-R231,29-7820,ANILLOS DE CARGO TITAN 125,entrada,1,Hoja 4,231,U
Diciembre TOTAL,H4-R233,ANI-GYF-STD-IR,ANILLOS DE CS125 Y AT110 ESTANDAR,entrada,2,Hoja 4,233,U
Diciembre TOTAL,H4-R234,,ANILLOS DE FT125  .25,entrada,3,Hoja 4,234,U
Diciembre TOTAL,H4-R235,,ANILLOS DE ST70 EN .75,entrada,1,Hoja 4,235,U
Diciembre TOTAL,H4-R236,,ANILLOS DE ST70 ESTANDAR,entrada,3,Hoja 4,236,U
Diciembre TOTAL,H4-R237,,ANILLOS DE FT150 PISTON LARGO,entrada,5,Hoja 4,237,U
Diciembre TOTAL,H4-R238,ANYA08B,ANILLOS DE BWS100,entrada,2,Hoja 4,238,U
Diciembre TOTAL,H4-R239,ANI-M00150-STD,ANILLOS DE DS150 ESTANDAR,entrada,1,Hoja 4,239,U
Diciembre TOTAL,H4-R240,ANI-GYG-STD-F,ANILLOS DE DS150 ESTANDAR,entrada,2,Hoja 4,240,U
Diciembre TOTAL,H4-R242,ANI-011-IR,ANILLOS DE DT200 Y FT200-TC200,entrada,2,Hoja 4,242,U
Diciembre TOTAL,H4-R243,ANI-EX-STD-IR,ANILLOS DE EX200,entrada,2,Hoja 4,243,U
Diciembre TOTAL,H4-R244,29-5101,ANILLOS DE FORZA 150,entrada,1,Hoja 4,244,U
Diciembre TOTAL,H4-R245,ANI-CGF-STD-F,ANILLOS DE FT125 ESTANDAR,entrada,5,Hoja 4,245,U
Diciembre TOTAL,H4-R246,ANI-MT0125-STD,ANILLOS DE FT125 ESTANDAR,entrada,2,Hoja 4,246,U
